DATABASE	PRIMARY NAME	ABBREVIATION	NAMES	KEGG ID(S)	FORMULA	CHARGE
cpd12572_c0	1-Phosphatidyl-1D-myo-inositol 3-phosphate	pi3p	1-Phosphatidyl-1D-myo-inositol 3-phosphate|1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3'-phosphate)	C04549	C11H16O16P2R2	-2
cpd12573_c0	[Isocitrate dehydrogenase (NADP+)] phosphate	[Isocitrate dehydrogenase (NADP+)] phosphate	[Isocitrate dehydrogenase (NADP+)] phosphate	C04564	C4H6N2O6PR2	-1
cpd12574_c0	Low-density lipoprotein O-phospho-L-serine	Low-density lipoprotein O-phospho-L-serine	Low-density lipoprotein O-phospho-L-serine	C04565	C4H6N2O6PR2	-1
cpd12575_c0	Membrane-derived-oligosaccharide D-glucose	Membrane-derived-oligosaccharide D-glucose	Membrane-derived-oligosaccharide D-glucose	C04566		10000000
cpd12576_c0	Reduced electron-transferring flavoprotein	Reduced electron-transferring flavoprotein	Reduced electron-transferring flavoprotein	C04570	noformula	10000000
cpd12577_c0	Retinol-(cellular-retinol-binding-protein)	Retinol-(cellular-retinol-binding-protein)	Retinol-(cellular-retinol-binding-protein)	C17276	C20H30O	0
cpd12578_c0	Aerobacter aerogenes capsular polysaccharide	Aerobacter aerogenes capsular polysaccharide	Aerobacter aerogenes capsular polysaccharide	C04609		10000000
cpd12579_c0	alpha-D-Mannosylchitobiosyldiphosphodolichol	alpha-D-Mannosylchitobiosyldiphosphodolichol	alpha-D-Mannosylchitobiosyldiphosphodolichol	C04615	C47H80N2O22P2	-2
cpd12580_c0	D-Galactosyl-N-acetyl-alpha-D-galactosaminide	D-Galactosyl-N-acetyl-alpha-D-galactosaminide	D-Galactosyl-N-acetyl-alpha-D-galactosaminide	C04627	C14H24NO11R	0
cpd12581_c0	[Hydroxymethylglutaryl-CoA reductase (NADPH)]	[Hydroxymethylglutaryl-CoA reductase (NADPH)]	[Hydroxymethylglutaryl-CoA reductase (NADPH)]	C04632	C4H6N2O3R2	0
